split,inflation,group,cases,covered,total,coverage,coverage_ci95_low,coverage_ci95_high,mean_width_usd
development,3.0,expanded,213,45942,48716,0.9430577223088924,0.919005840136106,0.9614255468055443,611.8110832913014
development,4.0,expanded,213,46133,48716,0.9469784054520075,0.9238626528158354,0.9643485177336413,691.7427636643608
development,5.0,expanded,213,46243,48716,0.9492363905082519,0.926654450496782,0.9661025134280663,741.4890933650344
development,6.0,expanded,213,46299,48716,0.950385910173249,0.9280780351514796,0.9670448767006943,775.2096806296992
development,8.0,expanded,213,46392,48716,0.9522949339026192,0.9302696525548804,0.9683784303642117,820.2679814474252
development,deterministic,expanded,213,47264,48716,0.9701945972575745,0.9557810682033024,0.981283047988117,1021.1459049288316
development,1.0,expanded_lower,117,23816,26240,0.9076219512195122,0.8665164996241063,0.936611481326631,170.9901080488721
development,1.15,expanded_lower,117,24253,26240,0.9242759146341464,0.8837318507980331,0.9521312093984436,196.6191371786955
development,1.3,expanded_lower,117,24587,26240,0.9370045731707317,0.8960621480763966,0.9636739604612851,222.2060158053456
development,1.5,expanded_lower,117,24836,26240,0.9464939024390244,0.9048698116023911,0.9719899265105647,255.12019095136603
development,1.75,expanded_lower,117,24936,26240,0.9503048780487805,0.909709863515154,0.9753649670102168,291.74133531338964
development,10.0,expanded_lower,117,25349,26240,0.9660442073170732,0.9304188348964844,0.9860629591248444,580.4199417352701
development,12.0,expanded_lower,117,25369,26240,0.9668064024390244,0.9307519498894034,0.9864855181447734,599.9296293664087
development,16.0,expanded_lower,117,25397,26240,0.9678734756097561,0.9329909303225558,0.9870210742380016,626.5915840106293
development,2.0,expanded_lower,117,25014,26240,0.9532774390243902,0.9119009589461025,0.9776098955516755,323.043885887782
development,2.5,expanded_lower,117,25095,26240,0.9563643292682927,0.9176277729223707,0.9798121959678446,373.26757551031557
development,24.0,expanded_lower,117,25437,26240,0.9693978658536585,0.9367370851176448,0.9874261566147181,652.8375431364889
development,3.0,expanded_lower,117,25143,26240,0.9581935975609757,0.9194003115525222,0.9812596234372448,410.74209758456976
development,4.0,expanded_lower,117,25220,26240,0.9611280487804879,0.9234510978353972,0.9830108855920043,460.8024888267095
development,5.0,expanded_lower,117,25270,26240,0.9630335365853658,0.9253263282656906,0.9842463781470063,493.64993032337685
development,6.0,expanded_lower,117,25293,26240,0.9639100609756097,0.9261021028452833,0.9849638750018314,518.2061122320802
development,8.0,expanded_lower,117,25319,26240,0.9649009146341463,0.9288485643660284,0.9853520356636305,554.7062885376562
development,deterministic,expanded_lower,117,25756,26240,0.9815548780487805,0.958505901988711,0.9940813231239302,758.7228716985519
development,1.0,expanded_upper,96,19417,22476,0.8638992703327995,0.8287299736627158,0.8957025862403514,335.9487997579754
development,1.15,expanded_upper,96,19905,22476,0.8856113187399893,0.8502689235577642,0.916601168422509,386.32282263962634
development,1.3,expanded_upper,96,20179,22476,0.8978021000177968,0.8622748572144208,0.9288054535106431,436.6704444367968
development,1.5,expanded_upper,96,20357,22476,0.9057216586581243,0.8709301454834072,0.9361639249025028,502.17087079604664
